match_id,radiant_win,duration,Support,Initiator,Pusher,Escape,Nuker,Carry,Durable,Disabler,early_game_gold_adv,early_game_xp_adv,radiant_bottom_tier_2,radiant_bottom_tier_1,radiant_middle_tier_2,radiant_middle_tier_1,radiant_top_tier_2,radiant_top_tier_1,dire_bottom_tier_2,dire_bottom_tier_1,dire_middle_tier_2,dire_middle_tier_1,dire_top_tier_2,dire_top_tier_1,radiant_score_adv
7967435715,1,35,3,2,1,3,4,3,2,5,3844,1721,0,0,1,0,0,0,0,0,0,0,0,0,33
7967438032,1,41,2,4,2,1,5,3,3,5,1238,484,1,0,1,0,1,0,0,0,1,0,0,0,7
7967459521,0,28,2,2,2,3,2,4,1,3,-380,29,0,0,0,0,1,1,1,1,1,0,1,0,-19
7967484383,0,26,0,3,1,4,4,1,2,3,-2797,-2048,0,0,0,0,0,0,0,0,1,0,1,0,-25
7967484981,0,27,2,3,2,2,5,3,4,5,-1454,-2202,0,0,0,0,0,0,1,0,1,1,1,0,-8
7967488578,0,28,2,2,0,3,3,3,1,3,1871,2235,0,0,1,0,0,0,1,0,1,0,1,0,6
7967517163,1,49,4,3,0,2,5,2,2,5,-1247,-664,0,0,0,0,0,0,0,0,0,0,0,0,3
7967517212,1,33,1,2,2,2,3,3,1,3,-3398,-2887,0,0,1,0,1,0,0,0,0,1,0,0,6
7967541669,1,24,3,3,1,1,3,2,2,3,389,-936,1,0,1,1,1,1,0,0,0,0,0,0,23
7967560450,1,37,3,2,0,0,4,2,2,5,-1586,-3954,0,0,0,0,0,0,1,0,0,0,0,0,1
7967584083,1,35,1,1,0,1,4,4,1,2,-221,1323,0,0,0,0,1,0,0,0,0,0,0,0,2
7967684395,0,34,2,4,0,3,5,2,2,5,2289,-48,0,0,0,0,0,0,1,0,1,0,1,0,-7
7967703063,0,28,3,3,0,4,5,2,2,4,-532,-369,0,0,0,0,1,0,1,0,1,0,0,0,-13
7967713514,0,24,2,3,1,1,5,2,2,5,1399,588,0,0,0,0,0,0,1,1,1,0,1,0,-14
7967727451,1,26,2,0,1,3,5,4,0,2,2447,1576,1,0,1,1,1,1,0,0,0,0,0,0,3
